,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12041,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19853462.0,19853462.0,False,,1,,,,2025-04-19T15:14:00.000Z,85432.0440000701,12802300046.932028,-29.1411,-0.02961974,1.12093724,0.92115424,-0.61316819,-10.61896394,-18.33598445,1696121839137.7197,62.9917,1794072924001.47,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
1,1027,Ethereum,ETH,ethereum,10138,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120703159.49029723,120703159.49029723,True,,2,,,,2025-04-19T15:14:00.000Z,1607.8939654069336,6077750225.825173,-39.085,0.08045444,1.54898961,-2.52800868,-19.21694695,-40.18607976,-52.70943045,194077881749.99957,7.2078,194077881750.0,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
2,825,Tether USDt,USDT,tether,124735,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,144640112847.93365,148032435823.63278,True,,3,,,,2025-04-19T15:13:00.000Z,0.999903608973707,31953287015.29787,-22.6968,-0.00524255,-0.01131129,0.02201349,0.03184782,0.02314269,0.1275058,144626170839.01312,5.3712,148018166825.22,,2025-04-19T15:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-19 10:13:46.495556
3,52,XRP,XRP,xrp,1591,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58394167593.0,99986232255.0,False,,4,,,,2025-04-19T15:14:00.000Z,2.083966256058157,1561076063.7739186,-29.2281,-0.2665132,1.09898776,-3.00751956,-16.27681459,-18.96954078,-33.79241428,121691474814.41678,4.5195,208396625605.82,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
4,1839,BNB,BNB,bnb,2473,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890885.86,140890885.86,False,,5,,,,2025-04-19T15:13:00.000Z,589.6312938310274,1270371018.8725133,-12.3453,0.07866027,-0.65993835,-1.44447545,-5.89396587,-9.68894742,-15.32809999,83073675318.63141,3.0852,83073675318.63,,2025-04-19T15:13:00.000Z,,,,,,2025-04-19 10:13:46.495556
5,5426,Solana,SOL,solana,899,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,516600345.1296557,598877005.5735406,True,,6,,,,2025-04-19T15:14:00.000Z,139.70366566555774,2274897038.3729506,-21.3509,0.08006665,5.23362782,7.47654429,6.96238003,-16.09391409,-47.87254944,72170961898.70515,2.6805,83665312961.44,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
6,3408,USDC,USDC,usd-coin,27215,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60905869233.36766,60905869233.36766,False,,7,,,,2025-04-19T15:14:00.000Z,0.9999878958229218,4133276251.2613373,-37.1474,0.00889814,-0.00060975,0.0170742,0.00165156,-0.02760177,0.0007124,60905132017.94136,2.2619,60905132017.94,,2025-04-19T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-04-19 10:13:46.495556
7,74,Dogecoin,DOGE,dogecoin,1207,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'made-in-america']",,148918606383.70523,148918606383.70523,True,,8,,,,2025-04-19T15:14:00.000Z,0.15820543738414472,498190525.6402033,-6.3732,-0.26662756,1.47074456,-4.41618296,-8.27103068,-36.75555143,-59.72208372,23559733257.571373,0.875,23559733257.57,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
8,1958,TRON,TRX,tron,1164,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94949074080.871,94949089168.34471,True,,9,,,,2025-04-19T15:14:00.000Z,0.2422366717673056,407616905.91427064,-13.2686,-0.26099945,-0.30487548,-2.93859965,4.67398561,3.15317956,0.1579,23000147692.737534,0.8542,23000151347.48,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
9,2010,Cardano,ADA,cardano,1506,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35287114426.69233,44994927702.53886,False,,10,,,,2025-04-19T15:14:00.000Z,0.6244974458581856,388011557.7742163,-1.9407,-0.45061556,1.53022903,-5.02194295,-15.93873556,-19.38623907,-42.42537419,22036712831.174892,0.8184,28102385063.62,,2025-04-19T15:14:00.000Z,,,,,,2025-04-19 10:13:46.495556
